Date,AAPL,AMD,AVGO,GOOGL,META,MSFT,NVDA,QCOM
2021-08-26,144.0303497314453,107.2699966430664,44.2209358215332,140.1973419189453,361.2080383300781,287.585205078125,21.99193572998047,127.81153106689453
2021-08-27,145.06515502929688,111.4000015258789,45.14952850341797,142.73831176757812,369.3861999511719,288.1910095214844,22.55797576904297,130.0287628173828
2021-08-30,149.47763061523438,111.31999969482422,45.4180793762207,143.3196258544922,377.3463134765625,291.9120788574219,22.60979461669922,131.00726318359375
2021-08-31,148.21832275390625,110.72000122070312,45.2651481628418,143.4257049560547,376.07745361328125,290.2678527832031,22.311771392822266,131.68048095703125
2021-09-01,148.88214111328125,109.98999786376953,44.89643859863281,143.9391632080078,378.7242736816406,290.2198181152344,22.36759376525879,132.0773468017578
2021-09-02,149.99502563476562,109.19999694824219,44.781734466552734,142.02761840820312,372.01312255859375,289.5659484863281,22.322742462158203,130.87782287597656
2021-09-03,150.6295623779297,109.91999816894531,45.307926177978516,142.4761199951172,372.984619140625,289.5563659667969,22.768272399902344,130.4359588623047
2021-09-07,152.9626922607422,109.1500015258789,45.20869445800781,143.01235961914062,378.8530578613281,288.63323974609375,22.58786392211914,129.64231872558594
2021-09-08,151.42027282714844,106.16999816894531,45.007503509521484,142.4280548095703,374.2831726074219,288.66204833984375,22.26592445373535,128.5330352783203
2021-09-09,150.40504455566406,106.1500015258789,44.92647171020508,142.27938842773438,374.70947265625,285.8160400390625,22.104450225830078,127.68526458740234
2021-09-10,145.42633056640625,105.19999694824219,45.35071563720703,139.63780212402344,375.3934631347656,284.3352355957031,22.40447235107422,128.6773223876953
